,単語,意味
581,durable,"耐久性のある,耐久性がある、丈夫な,耐久性のある"
582,merger,"合併,合併、統合,合併、買収"
583,priority,"優先事項,優先順位、重要なこと,優先事項,優先順位"
584,primary,"主要な,主な、本来の,最も重要な,プライマリ"
585,input,"知識などの提供,〜を入力する,入力"
586,monitor,"モニター,監視する／（コンピュータの）モニター"
587,entire,"全体の,全体の,全体の,全体の"
588,structure,"構造,骨組み,構造,構造"
589,individual,"個人,個人の、個別の／個人,個々の,個々の"
590,finalize,"完結させる,仕上げる、最終的に承認する,〜を仕上げる、終わらせる"
591,evidence,"証拠,証拠、証明,証拠,証拠"
592,stack,"積み重ねる,積み重ねる,〜を積み重ねる"
593,qualify,"資格を与える,資格を得る、~に資格を与える"
594,regulation,"規則,規制、規則,規則"
595,summary,"要約,あらすじ、要約,概要、要約"
596,compact,小型の
597,constant,絶え間なく続く
598,gather,"集める,集まる,集まる,集まる,収集"
599,shortly,"まもなく,じきに、まもなく,間もなく"
600,incorporate,"組み入れる,取り入れる、組み込む"
601,projector,プロジェクター
602,panel,"パネル,グループ、パネル,委員会"
603,layout,"レイアウト,レイアウト、配置"
604,fare,"運賃,運賃、乗車料金,運賃"
605,determine,"明らかにする,決定する、判断する、決心する,〜を決定する,決定、決心"
606,accomplishment,"達成,業績"
607,simple,"単純な,単純"
608,aware,"気づいている,気付いて,気付いている"
609,tenant,"テナント,賃借人、入居者"
610,pleasure,"喜び,喜び"
611,demand,"要求／要求する,要求する、請求する,需要,要求する,需要"
612,blueprint,"青写真,設計図、青写真,設計図"
613,advantage,"有利な点,有利、利点、強み,利点,利点"
614,dental,"歯の,歯科の"
615,metro,地下鉄
616,overhead,"頭上の,諸経費"
617,waterproof,"防水性の,防水の"
618,language,"言語,言語"
619,perfect,"完璧な,完璧な"
620,above,"…の上方に,～の上(空)に"
621,luck,幸運
622,exactly,"正確に／そのとおり,ちょうど、正確に,正確に、厳密に,正確に"
623,influence,"影響を及ぼす,影響、作用,影響,影響"
624,urgent,"緊急の,緊急の,緊急の,緊急"
625,valuable,"価値の高い,貴重な,価値のある,貴重な"
626,assess,"評価する,（価値や重要性）を評価する,〜を評価する,評価する"
627,cashier,"レジ係,レジ,レジ係"
628,dedicate,"専念する,捧げる"
629,earn,"稼ぐ,得る、稼ぐ,〜を稼ぐ、得る,お金を稼ぐ"
630,from scratch,ゼロから
631,a couple of,2つの
632,social,"社会の,社会の"
633,connect,"接続する,接続する、つなぐ"
634,plenty of,たくさん
635,overnight,"一晩中,一晩の、翌日配送の／一晩,翌日配達の"
636,clearance,"整理,在庫一掃、清算、許可"
637,onto,…の上へ
638,sponsorship,資金援助
639,flexible,"柔軟な,柔軟な、フレキシブルな,柔軟な"
640,automatically,"自動的に,自動的に"
641,alone,"ただ1人で,ただ一人の,ひとりで"
642,nutrition,栄養
643,familiar,"よく知られた,よく知っている、おなじみの"
644,patron,"顧客,愛用者、利用者"
645,entry,"加入,入場、参加,登録"
646,broad,"広範囲の,広い"
647,steady,"着実な,着実な,しっかりとした"
648,transaction,"取引,取引,取引"
649,delicious,"とてもおいしい,おいしい"
650,checkout,"チェックアウト／レジ,レジ、チェックアウト"
651,wheelbarrow,"手押し車,手押し車"
652,explore,"探索する,探索する、調査する,〜を探検（調査）する"
653,promise,"約束する,約束する、約束"
654,anticipate,"…を予期する,~を予期する、期待する,〜を見越す、予想する,期待する"
655,cafeteria,"食堂,社員食堂,カフェテリア"
656,society,"社会,社会"
657,anniversary,"記念日,~周年、記念日,~周年記念日,周年記念"
658,evaluation,"評価,評価,評価,評価"
659,handout,"配布資料,配布資料,配布資料"
660,direct,"向ける／直接の,向ける、管理する、監督する,直接"
661,appropriate,"適切な,適切な、適した,適切な"
662,common,"ありふれた,一般的な,共通の"
663,general,"だいたいの,全般的な、一般的な,全体的な,一般的な"
664,whole,"全体の,全体の,全体の"
665,proud,"多大な,誇りに思う"
666,compare,"比較する,比較する、比べる、例える,比較する"
667,numerous,"多数の,たくさんの"
668,networking,ネットワークづくり
669,acquire,"獲得する,買収する、得る、獲得する"
670,establish,"設立する,~を設立する、制定する,設立する,確立する、設立する"
671,overseas,"海外の／海外へ,海外の／海外で,海外の,海外"
672,discover,"発見する,発見する,発見する"
673,envelope,"封筒,封筒,封筒"
674,newly,新たに
675,expose,"さらす,さらす、触れさせる,〜を暴露する"
676,means,"手段,手段,手段,手段(複数)、意味する(三単現)"
677,quarter,"四半期,四半期,四半期,四半期"
678,internship,インターンシップ
679,walkway,歩道
680,medication,"薬剤,薬、医薬"
681,format,フォーマット／構成
682,conservation,"保護,保護、保存"
683,below,"…より下に,～の下に"
684,profit,"利益,利益,収益、利益,利益"
685,volume,"容量,量"
686,restore,"修復する,復旧させる、取り戻す"
687,satisfy,"満足させる,満足させる,〜を満足させる"
688,knowledge,"知識,知識,知識,知識"
689,compliment,"ほめ言葉,賛辞を述べる、ほめる,褒め言葉"
690,oversee,"監督する,監督する"
691,judge,"審査員／判断する,判断する、裁く、評価する／裁判官"
692,retire,"退職する,退職する、引退する,〜を退職する"
693,huge,"巨大な,巨大な,巨大な"
694,frequent,"頻繁に起こる,頻繁な,頻繁な,頻繁に"
695,initial,"頭文字／最初の,初めの、当初の,初期の"
696,expert,"専門家,専門家／専門的な"
697,approach,"手法／近づく,近づく,取り組み方,〜に近づく,近づく"
698,refreshment,"軽食,軽い飲食物,軽食"
699,incredible,"すばらしい,信じられない"
700,furthermore,"その上に,さらに"
701,municipal,"市政の,地方自治体の"
702,overview,"概観,概要"
703,sufficient,"十分な,十分な、満足な,十分な,十分な"
704,refill,"(飲み物の)おかわり,詰め替え品"
705,talent,才能
706,aspect,"局面,面、局面,側面"
707,nevertheless,"それにもかかわらず,それにもかかわらず,それにもかかわらず,それでもなお"
708,tuition,"授業料,授業料"
709,persuade,"説得する,説得"
710,regardless of,…にかまわず
711,comprehensive,"包括的な,総合的な、包括的な、理解力のある"
712,eliminate,"除去する,取り除く、排除する,〜を除外する"
713,enhance,"向上させる,向上させる、強化する"
714,perhaps,"おそらく,おそらく"
715,premise,"建物,敷地、仮定"
716,remark,"発言,言葉、コメント、意見,見解,〜を述べる"
717,scheme,"計画,(事業)計画,スキーム、計画"
718,generate,"生み出す,生み出す"
719,conclude,"結論を下す,終わる、終える、結論を出す,結論をを出す,締結する"
720,adjacent to,隣接した
721,likewise,同様に
722,prospect,"見通し,見通し、可能性,見込み"
723,capability,"能力,能力,能力"
724,enormous,"巨大な,莫大な、巨大な,巨大な"
725,checkup,"健康診断／点検,検査、健康診断,検査"
726,substitute,"代用品,代替する,代替する"
727,failure,"失敗,失敗、故障,失敗,故障、失敗"
728,massive,"巨大な,巨大な,大規模な"
729,enlarge,"拡大する,拡張する、増築する"
730,moderate,"適度の,ほどほどの、適度な,適度な"
731,reject,"拒絶する,却下する、拒否する,〜を拒絶する,拒否する"
732,interruption,"中断,中断、（物事を）遮ること,妨害"
733,fluctuate,"変動する,変動する"
734,generous,"気前の良い,気前のよい、寛大な,気前のいい"
735,consecutive,"連続した,連続した"
736,intermediate,"中級の,中級の、中間の"
737,aisle,"通路,通路,通路,通路"
738,deserve,"…に値する,値する,（賞賛・処罰）〜に値する"
739,sightseeing,"観光,観光,観光"
740,readability,読みさすさ
741,meanwhile,"同時に／一方では,その間に、それまでは"
742,majority,"大多数,大多数、大部分,大多数,過半数"
743,postal,郵便の
744,voice,"意見,声"
745,foreign,"外国の,外国人"
746,fieldwork,現地調査
747,checklist,一覧表
748,keynote,"基調講演,基調となる"
749,minimum,"最小限／最小の,最小限の、最低限の,最小の"
750,expertise,"専門知識,専門知識"
751,flaw,"傷／欠陥,欠陥、欠点"
752,token,"しるし,印"
753,outcome,"結果,結果,結果"
754,enterprise,"企業,企業"
755,prevent,"妨げる,防ぐ、阻む,防ぐ"
756,scholarship,"奨学金,奨学金,奨学金"
757,import,"輸入する,輸入する,輸入,〜を輸入する"
758,amazing,"すばらしい,驚くべき,驚くべき,驚くほどの"
759,fortunate,"運の良い,幸運な"
760,illustrate,"説明する,説明する、図解する,〜を説明する"
761,urgency,緊急
762,hesitate,"ためらう,ためらう、躊躇する"
763,represent,"代表する,代表する,〜を代表する"
764,surpass,"優る,超える"
765,destination,"目的地,目的地、行き先,目的地,目的地"
766,behavior,"態度,振る舞い、行動,振る舞い"
767,proficiency,"熟練度,熟達、スキルの高さ、高い能力"
768,function,"機能,機能／機能する,機能,関数、機能"
769,recreation,"気晴らし,休養、娯楽"
770,recall,"回収する,思い出す、回収する,〜を思い出す、〜を回収する,リコール、呼び戻す"
771,beforehand,"あらかじめ,あらかじめ、事前に,あらかじめ"
772,downstairs,"階下へ,階下へ"
773,sustain,"維持する,〜を維持する"
774,translate,"翻訳する,翻訳する"
775,transcript,成績証明書
776,confident,"確信している,確信している、自信がある,自信のある"
777,overcome,"克服する,乗り越える、克服する"
778,anymore,"もはや,もはや"
779,utility,"公共設備／実用性,公共料金、公共サービス"
